step,loss,forget_loss,reg_loss
188,5.2804,2.2416,2.0259
189,5.9803,1.9664,2.6759
190,7.4523,3.6808,2.5143
191,4.5361,2.3668,1.4462
192,4.5610,1.7902,1.8472
193,5.8449,2.4736,2.2475
194,5.8825,1.6202,2.8415
195,4.9941,1.7469,2.1648
196,3.8508,1.0645,1.8575
197,4.9628,0.8995,2.7089
198,4.9796,1.9980,1.9877
199,4.6657,1.1592,2.3377
200,2.9878,0.7663,1.4810
201,5.3364,1.5077,2.5524
202,3.3005,0.5072,1.8622
203,4.7596,1.7648,1.9965
204,4.4380,1.6191,1.8792
205,5.5035,0.8968,3.0712
206,3.8785,0.9440,1.9563
207,6.3079,0.7360,3.7146
208,4.8169,1.0589,2.5054
209,2.8686,0.6429,1.4838
210,5.8548,0.8983,3.3043
211,4.6765,1.0864,2.3934
212,3.5822,0.6033,1.9859
213,4.5309,0.5857,2.6302
214,2.6560,0.4935,1.4417
215,3.4609,0.1855,2.1836
216,4.1370,1.2001,1.9579
217,4.9104,0.2641,3.0975
218,6.4991,0.2514,4.1651
219,4.4950,0.5660,2.6193
220,4.5926,0.8216,2.5140
221,3.8002,0.3092,2.3273
222,3.3331,0.6230,1.8067
223,2.9037,0.3712,1.6883
224,3.2285,0.3006,1.9519
225,3.9463,0.5572,2.2594
226,5.0301,0.9578,2.7148
227,5.0595,1.2132,2.5642
228,3.7145,0.1973,2.3448
229,5.3567,0.4955,3.2408
230,3.4193,0.2790,2.0935
231,5.3097,0.1231,3.4577
232,4.1696,0.2618,2.6052
233,4.3100,0.3111,2.6659
234,4.6391,0.4474,2.7945
235,2.6952,0.2642,1.6206
236,3.0991,0.4570,1.7615
237,6.7167,0.3283,4.2589
238,4.5644,0.3658,2.7991
239,4.0425,0.6544,2.2587
240,3.8504,0.1748,2.4504
241,3.1283,0.1634,1.9766
242,2.9915,0.1421,1.8996
243,4.3045,0.0686,2.8239
244,6.0204,0.0649,3.9703
245,4.2422,0.2355,2.6711
246,3.4824,0.0579,2.2830
247,3.6740,0.8497,1.8828
248,1.4801,0.0302,0.9666
249,3.6089,0.2167,2.2614
250,3.7895,0.0554,2.4894
251,2.7309,0.1956,1.6901
252,5.7107,0.1275,3.7221
253,2.9838,0.0624,1.9476
254,3.7858,0.2696,2.3442
255,4.0669,0.0523,2.6764
256,2.3338,0.1012,1.4884
257,2.8508,0.0112,1.8931
258,6.8306,0.0397,4.5273
259,3.4598,0.0141,2.2971
260,2.8485,0.0754,1.8487
261,6.5493,0.0257,4.3491
262,4.3664,0.3927,2.6491
263,2.8430,0.7230,1.4133
264,2.4171,0.0514,1.5772
265,3.6734,0.1306,2.3618
266,1.8507,0.1326,1.1454
267,2.9974,0.0248,1.9817
268,1.9495,0.0165,1.2886
269,6.3259,0.1088,4.1447
270,4.3737,0.1025,2.8474
271,3.5791,0.1512,2.2852
272,3.4051,0.0375,2.2451
273,4.3515,0.0537,2.8652
274,1.6241,0.1314,0.9951
275,3.1402,0.4111,1.8194
276,4.1399,0.0178,2.7480
277,2.7238,0.0214,1.8016
278,2.1235,0.0706,1.3686
279,3.8227,0.0962,2.4843
280,4.2409,0.0079,2.8220
281,2.4067,0.0609,1.5638
282,2.9691,0.0636,1.9370
283,6.3999,0.0275,4.2483
284,5.6731,0.0197,3.7689
285,2.7003,0.3811,1.5461
286,4.5371,0.0232,3.0093
287,3.0371,0.0310,2.0040
288,6.9354,0.0373,4.5987
289,5.0649,0.0120,3.3686
290,3.3743,0.0846,2.1931
291,3.7011,0.0152,2.4573
292,5.0517,0.2149,3.2245
293,2.7309,0.0080,1.8152
294,3.0049,0.0980,1.9379
295,3.9481,0.0225,2.6170
296,3.0417,0.0278,2.0092
297,5.8676,0.0206,3.8981
298,3.7635,0.1380,2.4170
299,4.9082,0.0742,3.2227
300,2.9762,0.1154,1.9072
